Name,Min_CPU_Speed,Recommended_CPU_Speed,Min_GPU_Memory,Recommended_GPU_Memory,Min_RAM,Recommended_RAM,Min_OS,Recommended_OS,Min_Storage,Recommended_Storage,Release_Date
Zoo Tycoon 2: Zookeeper Collection,,,,,0,0,0,0,0,0,10/17/2006
Zoo Tycoon 2: Marine Mania,,,,,0,0,0,0,0,0,10/17/2006
Zoo Tycoon 2: Endangered Species,,,,,0,0,0,0,0,0,10/18/2005
Zu Online,,,,,0,0,0,0,0,0,12/14/2007
Adventure Quest Worlds,,,,,0,0,0,0,0,0,6/2/2008
Earth 2140,,,,,0,0,0,0,0,0,11/15/2013
Enigmatis: The Mists of Ravenwood,,,,,0,0,0,0,0,0,10/26/2013
Moorhuhn: Tiger And Chicken,,,,,0,0,0,0,0,0,9/27/2013
Awesomenauts: Bumble Gnaw,,,,,0,0,0,0,0,0,9/19/2012
Paper Monsters,,,,,0,0,0,0,0,0,9/10/2012
Zeus: Master of Olympus,1.1,,48,,0MB,0,0,0,0MB,0,10/22/2000
Aliens versus Predator 2,1.1,,128,,0MB,0,0,0,1 GB,0,10/30/2001
My Sims,1.83,,256,,1 GB,0,0,0,1 GB,0,10/31/2008
Element4l,1.5,,64,,1 GB,0,Windows XP 32-bit,0,0MB,0,5/24/2013
Paper Ball,1.85,,128,,0MB,0,Windows XP 32-bit,0,0MB,0,3/9/2012
Awesomenauts,1.7,2.4,256,768,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,8/1/2012
Monument Builders - Titanic,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,3/19/2013
Yu-Gi-Oh! Online,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,11/4/2005
Zombies On A Plane,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/28/2014
007 Legends,2.13,3.2,896,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,7 GB,7 GB,11/2/2012
Family Guy: Back to the Multiverse,1.85,2.6,256,384,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,11/20/2012
Forsaken World,1.315,2.68,256,384,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,8 GB,16 GB,3/9/2011
F1 2012,2.6,3.05,1024,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,13 GB,13 GB,9/21/2012
Dungeons & Dragons: Chronicles of Mystara,1.7,2.55,384,512,1 GB,2 GB,Windows Vista 32-bit,Windows 7 32-bit,0MB,0MB,6/18/2013
A Game Of Dwarves,2.4,2.6,256,320,2 GB,4 GB,Windows Vista 64-bit,Windows 7 64-bit,3 GB,3 GB,10/23/2012
Yurei No Geemu,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,8/5/2014
F1 Online,1.75,3.2,128,960,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,6/27/2012
Mortal Kombat,2.6,3.03,320,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,10 GB,10 GB,7/3/2013
Fallout New Vegas Ultimate Edition,2.1815,2.75,256,768,1 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,10 GB,10 GB,2/10/2012
You Are Not A Banana,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,4/5/2014
Yummy Circus,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/30/2014
Yoshis Wooly World,,,,,0,0,0,0,0,0,1/1/2015
Year 0 Tactics,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,8/14/2014
Wyrmsun,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/5/2014
Xsyon - Prelude,,,,,0,0,0,0,0,0,12/29/2014
Wonkey Wizard,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/31/2014
world of leaders,,,,,0,0,0,0,0,0,12/15/2014
Family Guy Online,2.075,2.8,256,384,1 GB,1 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,6/1/2012
Worldend Economica: Episode 1,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/5/2014
Words for Evil,,,,,0,0,0,0,0,0,8/12/2014
Wings of Vi,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/28/2014
Winter Maw,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/28/2014
Wildlife Park 3,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/12/2014
Winged Sakura: Mindy's Arc,1.63,2.1,320,640,2 GB,4 GB,Windows XP 32-bit,Windows 7 32-bit,0,0,11/7/2014
Year Walk,1.63,2.8,320,640,1 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,1.1 GB,1.1 GB,3/6/2014
Wickland,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/14/2014
